accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
P48119	RPOB_CYAPA	2.7.7.6	1103	Cyanophora paradoxa	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P48120	RPOC2_CYAPA	2.7.7.6	1265	Cyanophora paradoxa	PF04998	RNA polymerase Rpb1, domain 5	PF04983;PF05000;PF04998
P48311	DPOL_ADE40	2.7.7.7	1188	Human adenovirus F serotype 40 (HAdV-40) (Human adenovirus 40)	PF03175	DNA polymerase type B, organellar and viral	PF03175
P48337	RPOA_EUGGR	2.7.7.6	216	Euglena gracilis	NO_PFAM	no Pfam annotation	
P49348	APA2_KLULA	2.7.7.5; 2.7.7.53	331	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	PF19327	?	PF19327;PF09830
P49465	RPOA_TRICV	2.7.7.6	312	Trieres chinensis (Marine centric diatom) (Odontella sinensis)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P49466	RPOB_TRICV	2.7.7.6	1379	Trieres chinensis (Marine centric diatom) (Odontella sinensis)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P49467	RPOC1_TRICV	2.7.7.6	843	Trieres chinensis (Marine centric diatom) (Odontella sinensis)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P49468	RPOC2_TRICV	2.7.7.6	1481	Trieres chinensis (Marine centric diatom) (Odontella sinensis)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P49583	PCY1_CAEEL	2.7.7.15	362	Caenorhabditis elegans	PF01467	Cytidylyltransferase-like	PF01467
P49587	PCY1_PLAFK	2.7.7.15	370	Plasmodium falciparum (isolate K1 / Thailand)	PF01467	Cytidylyltransferase-like	PF01467
P50070	DNAG_MYXXA	2.7.7.101	606	Myxococcus xanthus	PF08275	DNA primase catalytic core, N-terminal domain	PF08275;PF13155;PF01807
P51005	PAPO2_XENLA	2.7.7.19	484	Xenopus laevis (African clawed frog)	PF04928	Poly(A) polymerase central domain	PF04928;PF04926
P51006	PAPO3_XENLA	2.7.7.19	400	Xenopus laevis (African clawed frog)	PF04928	Poly(A) polymerase central domain	PF04928;PF20750
P51250	RPOC2_PORPU	2.7.7.6	1224	Porphyra purpurea (Red seaweed) (Ulva purpurea)	PF04998	RNA polymerase Rpb1, domain 5	PF04983;PF05000;PF04998
P51251	RPOC1_PORPU	2.7.7.6	629	Porphyra purpurea (Red seaweed) (Ulva purpurea)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P51252	RPOB_PORPU	2.7.7.6	1143	Porphyra purpurea (Red seaweed) (Ulva purpurea)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P51293	RPOA_PORPU	2.7.7.6	311	Porphyra purpurea (Red seaweed) (Ulva purpurea)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P51335	MOEB_PORPU	2.7.7.80	382	Porphyra purpurea (Red seaweed) (Ulva purpurea)	PF00899	ThiF family	PF00581;PF00899
P52028	DPO1T_THET8	2.7.7.7	834	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF09281
P52308	DNAG_ENTFA	2.7.7.101	628	Enterococcus faecalis (strain ATCC 700802 / V583)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08275;PF13155;PF01807
P52415	GLGC_SYNY3	2.7.7.27	439	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	PF00483	Nucleotidyl transferase	PF25247;PF00483
P52540	PRIM_HHV6Z	2.7.7.-	860	Human herpesvirus 6B (strain Z29) (HHV-6 variant B) (Human B lymphotropic virus)	PF03121	Herpesviridae UL52/UL70 DNA primase	PF03121
P52733	RPOC1_PINTH	2.7.7.6	696	Pinus thunbergii (Japanese black pine) (Pinus thunbergiana)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P52995	NODP_RHITR	2.7.7.4	299	Rhizobium tropici	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P54455	NADD_BACSU	2.7.7.18	189	Bacillus subtilis (strain 168)	PF01467	Cytidylyltransferase-like	PF01467
P54459	HOLA_BACSU	2.7.7.7	347	Bacillus subtilis (strain 168)	PF06144	?	PF06144;PF21694
P54575	RIBC_BACSU	2.7.1.26; 2.7.7.2	316	Bacillus subtilis (strain 168)	PF06574	FAD synthetase	PF06574;PF01687
P54891	RDRP_ACLSA	2.7.7.48	1885	Apple chlorotic leaf spot virus (isolate apple) (ACLSV)	PF00978	RNA dependent RNA polymerase	PF03171;PF05413;PF00978;PF01443;PF01660
P55254	RMLA_SALAN	2.7.7.24	292	Salmonella anatum	PF00483	Nucleotidyl transferase	PF00483
P55255	RMLA_NEIMB	2.7.7.24	288	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	PF00483	Nucleotidyl transferase	PF00483
P55257	RMLA_YEREN	2.7.7.24	289	Yersinia enterocolitica	PF00483	Nucleotidyl transferase	PF00483
P56001	RPOA_HELPY	2.7.7.6	344	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P56105	DPO1_HELPY	2.7.7.7	891	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476
P56298	RPOA_CHLVU	2.7.7.6	278	Chlorella vulgaris (Green alga)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF01193
P56299	RPOB_CHLVU	2.7.7.6	1301	Chlorella vulgaris (Green alga)	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF00562;PF04560
P56300	RPOC1_CHLVU	2.7.7.6	836	Chlorella vulgaris (Green alga)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P56415	MOBA_HELPY	2.7.7.77	201	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	PF12804	MobA-like NTP transferase domain	PF12804
P56689	DPOL_THEGO	2.7.7.7	773	Thermococcus gorgonarius	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P56762	RPOA_ARATH	2.7.7.6	329	Arabidopsis thaliana (Mouse-ear cress)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P56763	RPOC1_ARATH	2.7.7.6	680	Arabidopsis thaliana (Mouse-ear cress)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P56764	RPOC2_ARATH	2.7.7.6	1376	Arabidopsis thaliana (Mouse-ear cress)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P56884	GLND_RHIME	2.7.7.59; 3.1.4.-	949	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
P56892	CYSD_RHIME	2.7.7.4	317	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P56893	CYSN_RHIME	2.7.7.4	498	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	PF22594	GTP-eEF1A C-terminal domain-like	PF22594;PF00009
P57028	DNAG_NEIMA	2.7.7.101	590	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08278;PF08275;PF13155;PF01807
P57029	DNAG_NEIMB	2.7.7.101	590	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08278;PF08275;PF13155;PF01807
P57040	RMLA_NEIMA	2.7.7.24	288	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)	PF00483	Nucleotidyl transferase	PF00483
P57084	NADM_SACS2	2.7.7.1	172	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	PF01467	Cytidylyltransferase-like	PF01467
P57145	RPOC_BUCAI	2.7.7.6	1407	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P57164	DNAG_BUCAI	2.7.7.101	577	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08278;PF08275;PF13155;PF01807
P57169	CCA_BUCAI	2.7.7.72	414	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF01743	Poly A polymerase head domain	PF01743;PF12627
P57250	RIBF_BUCAI	2.7.1.26; 2.7.7.2	313	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF06574	FAD synthetase	PF06574;PF01687
P57337	DPO3E_BUCAI	2.7.7.7	237	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF00929	Exonuclease	PF00929
P57454	PNP_BUCAI	2.7.7.8	707	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
P57498	CYSN_BUCAI	2.7.7.4	473	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF22594	GTP-eEF1A C-terminal domain-like	PF22594;PF00009
P57499	CYSD_BUCAI	2.7.7.4	302	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P57553	DPO3X_BUCAI	2.7.7.7	361	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF13177	DNA polymerase III, delta subunit	PF13177;PF12169;PF22608
P57561	TSAC_BUCAI	2.7.7.87	175	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF01300	Telomere recombination	PF01300
P57566	RPOA_BUCAI	2.7.7.6	329	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P57643	COAD_BUCAI	2.7.7.3	165	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	PF01467	Cytidylyltransferase-like	PF01467
P57671	RPO11_PYRHO	2.7.7.6	95	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	PF13656	RNA polymerase Rpb3/Rpb11 dimerisation domain	PF13656
P57941	RPOA_PASMU	2.7.7.6	329	Pasteurella multocida (strain Pm70)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P57971	MOBA_PASMU	2.7.7.77	189	Pasteurella multocida (strain Pm70)	PF12804	MobA-like NTP transferase domain	PF12804
P58103	COAD_CAUVC	2.7.7.3	163	Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15) (Caulobacter crescentus)	PF01467	Cytidylyltransferase-like	PF01467
P58131	RPOC1_EUGLO	2.7.7.6	575	Euglena longa (Euglenophycean alga) (Astasia longa)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P58132	RPOC2_EUGLO	2.7.7.6	817	Euglena longa (Euglenophycean alga) (Astasia longa)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P58192	RPO1C_SACS2	2.7.7.6	392	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	PF04998	RNA polymerase Rpb1, domain 5	PF04998
P58221	MOBA_ECO57	2.7.7.77	194	Escherichia coli O157:H7	PF12804	MobA-like NTP transferase domain	PF12804
P58232	RPO6_THEVO	2.7.7.6	61	Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1)	PF01192	RNA polymerase Rpb6	PF01192
P58747	MOBA_NEIMB	2.7.7.77	192	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	PF12804	MobA-like NTP transferase domain	PF12804
P58963	DPO4_ESCFE	2.7.7.7	331	Escherichia fergusonii	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
P58964	DPO4_STAAW	2.7.7.7	356	Staphylococcus aureus (strain MW2)	PF00817	impB/mucB/samB family	PF00817;PF11799
P59199	DPO1_STRPN	2.7.7.7	877	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF22619
P59200	DPO1_STRR6	2.7.7.7	877	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF22619
P59283	RPO12_METJA	2.7.7.6	46	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	NO_PFAM	no Pfam annotation	
P59455	RPOA_BUCBP	2.7.7.6	331	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P59477	DPO4_ECOL6	2.7.7.7	351	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
P59642	RPOB_TROW8	2.7.7.6	1157	Tropheryma whipplei (strain TW08/27) (Whipple's bacillus)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P59740	CYSD_SHIFL	2.7.7.4	302	Shigella flexneri	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P59785	ALGA_PSEFL	2.7.7.13; 5.3.1.8	483	Pseudomonas fluorescens	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
P60280	RPOB_CORDI	2.7.7.6	1175	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P60282	RPOB_AMBTC	2.7.7.6	1072	Amborella trichopoda	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF00562;PF04560
P60283	RPOB_PHYPA	2.7.7.6	1085	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF00562;PF04560
P60284	RPOC_STAAM	2.7.7.6	1207	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P60285	RPOC_STAAN	2.7.7.6	1207	Staphylococcus aureus (strain N315)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P60286	RPOC_STAAW	2.7.7.6	1207	Staphylococcus aureus (strain MW2)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P60287	RPOC1_AMBTC	2.7.7.6	680	Amborella trichopoda	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P60288	RPOC1_PHYPA	2.7.7.6	679	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P60289	RPOC2_AMBTC	2.7.7.6	1373	Amborella trichopoda	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P60290	RPOC2_PHYPA	2.7.7.6	1330	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P60291	RPO10_PYRAB	2.7.7.6	65	Pyrococcus abyssi (strain GE5 / Orsay)	PF01194	RNA polymerases N / 8 kDa subunit	PF01194
P60292	RPO10_PYRFU	2.7.7.6	65	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	PF01194	RNA polymerases N / 8 kDa subunit	PF01194
P60312	RPOA_STRCO	2.7.7.6	340	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P60313	RPOA1_STRAW	2.7.7.6	340	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P60314	RPOA_AMBTC	2.7.7.6	334	Amborella trichopoda	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P60315	RPOA_PHYPA	2.7.7.6	450	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P60325	RPOZ_HELPY	2.7.7.6	74	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	PF01192	RNA polymerase Rpb6	PF01192
P61519	RPO5_METMP	2.7.7.6	78	Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL)	PF01191	RNA polymerase Rpb5, C-terminal domain	PF01191
P61876	DPOL_PYRWO	2.7.7.7	775	Pyrococcus woesei	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P61888	RMLA2_SHIFL	2.7.7.24	293	Shigella flexneri	PF00483	Nucleotidyl transferase	PF00483
P61933	RPO12_METAC	2.7.7.6	45	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	PF03604	DNA directed RNA polymerase, 7 kDa subunit	PF03604
P61934	RPO12_METMA	2.7.7.6	45	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	PF03604	DNA directed RNA polymerase, 7 kDa subunit	PF03604
P62014	RPO6_PYRAB	2.7.7.6	57	Pyrococcus abyssi (strain GE5 / Orsay)	PF01192	RNA polymerase Rpb6	PF01192
P62015	RPO6_PYRHO	2.7.7.6	57	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	PF01192	RNA polymerase Rpb6	PF01192
P62223	GLND_RHOPA	2.7.7.59; 3.1.4.-	929	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
P63759	CDSA_MYCBO	2.7.7.41	306	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF01148	Cytidylyltransferase family	PF01148
P63814	COAD_BRUME	2.7.7.3	164	Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M)	PF01467	Cytidylyltransferase-like	PF01467
P63815	COAD_BRUSU	2.7.7.3	164	Brucella suis biovar 1 (strain 1330)	PF01467	Cytidylyltransferase-like	PF01467
P63816	COAD_NEIMA	2.7.7.3	170	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)	PF01467	Cytidylyltransferase-like	PF01467
P63817	COAD_NEIMB	2.7.7.3	170	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	PF01467	Cytidylyltransferase-like	PF01467
P63818	COAD_STAAM	2.7.7.3	160	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF01467	Cytidylyltransferase-like	PF01467
P63819	COAD_STAAN	2.7.7.3	160	Staphylococcus aureus (strain N315)	PF01467	Cytidylyltransferase-like	PF01467
P63821	COAD_STRP1	2.7.7.3	163	Streptococcus pyogenes serotype M1	PF01467	Cytidylyltransferase-like	PF01467
P63823	COAD_STRP8	2.7.7.3	163	Streptococcus pyogenes serotype M18 (strain MGAS8232)	PF01467	Cytidylyltransferase-like	PF01467
P63963	DNAG_MYCBO	2.7.7.101	639	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF13662	Toprim domain	PF10410;PF08278;PF08275;PF13662;PF01807
P63964	DNAG_STAAM	2.7.7.101	605	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF08275	DNA primase catalytic core, N-terminal domain	PF21650;PF08275;PF13155;PF01807
P63965	DNAG_STAAN	2.7.7.101	605	Staphylococcus aureus (strain N315)	PF08275	DNA primase catalytic core, N-terminal domain	PF21650;PF08275;PF13155;PF01807
P63976	DPO3X_MYCBO	2.7.7.7	578	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF13177	DNA polymerase III, delta subunit	PF13177;PF12169;PF22608
P63986	DPO41_MYCBO	2.7.7.7	468	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF11798
P63988	DPO42_MYCBO	2.7.7.7	346	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF00817	impB/mucB/samB family	PF00817;PF11799
P63989	DPO4_SALTY	2.7.7.7	351	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
P63990	DPO4_SALTI	2.7.7.7	351	Salmonella typhi	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999
P63991	DPO4_STAAM	2.7.7.7	356	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF00817	impB/mucB/samB family	PF00817;PF11799
P63992	DPO4_STAAN	2.7.7.7	356	Staphylococcus aureus (strain N315)	PF00817	impB/mucB/samB family	PF00817;PF11799
P64242	GLGC_MYCBO	2.7.7.27	404	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF00483	Nucleotidyl transferase	PF24894;PF00483
P65176	TARI2_STAAM	2.7.7.40	238	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128
P65177	TARI2_STAAN	2.7.7.40	238	Staphylococcus aureus (strain N315)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128
P65403	MOBA_MYCBO	2.7.7.77	201	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF12804	MobA-like NTP transferase domain	PF12804
P65404	MOBA_STAAM	2.7.7.77	199	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF12804	MobA-like NTP transferase domain	PF12804
P65405	MOBA_STAAN	2.7.7.77	199	Staphylococcus aureus (strain N315)	PF12804	MobA-like NTP transferase domain	PF12804
P65671	CYSD_MYCBO	2.7.7.4	309	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P65672	CYSD_SALTY	2.7.7.4	302	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P65673	CYSD_SALTI	2.7.7.4	302	Salmonella typhi	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P66679	RNPH_ECOL6	2.7.7.56	238	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
P66680	RNPH_ECO57	2.7.7.56	238	Escherichia coli O157:H7	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
P66699	RPOA_LISMO	2.7.7.6	314	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66700	RPOA_LISIN	2.7.7.6	314	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66702	RPOA_MYCBO	2.7.7.6	347	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66703	RPOA_NEIMA	2.7.7.6	328	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66704	RPOA_NEIMB	2.7.7.6	328	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66705	RPOA_STAAM	2.7.7.6	314	Staphylococcus aureus (strain Mu50 / ATCC 700699)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66706	RPOA_STAAN	2.7.7.6	314	Staphylococcus aureus (strain N315)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66707	RPOA_STAAW	2.7.7.6	314	Staphylococcus aureus (strain MW2)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66708	RPOA_STRPN	2.7.7.6	311	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66709	RPOA_STRR6	2.7.7.6	311	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66710	RPOA_STRP1	2.7.7.6	312	Streptococcus pyogenes serotype M1	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66711	RPOA_STRP8	2.7.7.6	312	Streptococcus pyogenes serotype M18 (strain MGAS8232)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66712	RPOA_XYLFA	2.7.7.6	332	Xylella fastidiosa (strain 9a5c)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66713	RPOA_XYLFT	2.7.7.6	332	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P66730	RPOZ_STRPN	2.7.7.6	103	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	PF01192	RNA polymerase Rpb6	PF01192
P66731	RPOZ_STRR6	2.7.7.6	103	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	PF01192	RNA polymerase Rpb6	PF01192
P68314	RP07_VACCA	2.7.7.6	63	Vaccinia virus (strain Ankara) (VACV)	PF05864	Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7)	PF05864
P68315	RP07_VACCC	2.7.7.6	63	Vaccinia virus (strain Copenhagen) (VACV)	PF05864	Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7)	PF05864
P68317	RP07_VACCW	2.7.7.6	63	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	PF05864	Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7)	PF05864
